,FTIR_777,FTIR_808,FTIR_825,FTIR_841,FTIR_854,FTIR_875,FTIR_908,FTIR_972,FTIR_997,FTIR_1018,FTIR_1066,FTIR_1082,FTIR_1166,FTIR_1195,FTIR_1213,FTIR_1261,FTIR_1367,FTIR_1377,FTIR_1398,FTIR_1409,FTIR_1435,FTIR_1490,FTIR_1541,FTIR_1577,FTIR_1631,FTIR_1645,FTIR_1658,FTIR_1739,FTIR_1978,FTIR_2162,FTIR_2952,FTIR_2960,FTIR_3297
20,0.0,0.0,0.0,0.0,0.0,0.0,0.27446693188542115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302476860413755,0.45373047446677667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6385960027537882,0.0,0.2856709032967561,1.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.24085501765141842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23525303194575345,0.40891458882143505,0.0,0.0,0.0,0.0,0.0,0.0,0.3977106174100992,0.0,0.18483516059474697,0.0,0.2576609747684213,1.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.12881530353807472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17363118918341283,0.27446693188542226,0.0,0.0,0.0,0.0,0.0,0.0,0.19603913200608272,0.0,0.0,0.0,0.10080537500973849,0.8066555739237682,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01677558942473204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7506357168671355,0.0,1.0,0.0,0.0,0.05598948936440085,0.0,0.0,0.0,0.0,0.0,0.0,0.9074913166258182,0.37530267458743133,1.0,0.0,1.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7786456453954702,0.0,1.0,0.0,0.0,0.0,0.0,0.005572053751957581,0.0,1.0,0.3080788461194279,0.28006891759108726,0.07279544648140361,0.3248848032364267,0.9803171307994557,0.0,0.9018893309197925,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22404906053441748,0.0,0.0,0.0,0.24645700335708545,0.9579091879768011,0.0,0.8346655024515911,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6834118883991263,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005571618013396192,0.0,0.0,0.0,0.6497999741651223,1.0,0.0,0.7954516025119124,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02237757513039714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7058198312217977,0.0,1.0,0.0,0.0,0.0,0.0,0.07279564982606657,0.0,0.5153523172291151,0.19603913200608078,0.0,0.19043714630041197,0.20724310341741484,1.0,0.0,1.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5097503315234421,0.0,0.0,0.0,0.0,0.1064073607154054,0.0,0.969113159388151,0.0,0.0,0.07839743218707639,0.0,1.0,0.9411032308598181,0.04478551795306692,0.1904371463004158,0.0,0.0,0.5377602600517791,1.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4817404029951078,0.0,0.0,0.0,0.0,0.0,0.0,0.9018893309201483,0.0,0.0,0.11761133212674148,0.0,1.0,0.9186952880371463,0.0,0.0,0.0,0.0,0.3584967174704286,0.5321582743460876,0.0,0.0,0.0
