,sample,FTIR_777,FTIR_808,FTIR_825,FTIR_841,FTIR_854,FTIR_875,FTIR_908,FTIR_972,FTIR_997,FTIR_1018,FTIR_1066,FTIR_1082,FTIR_1166,FTIR_1195,FTIR_1213,FTIR_1261,FTIR_1367,FTIR_1377,FTIR_1398,FTIR_1409,FTIR_1435,FTIR_1490,FTIR_1541,FTIR_1577,FTIR_1631,FTIR_1645,FTIR_1658,FTIR_1739,FTIR_1978,FTIR_2162,FTIR_2952,FTIR_2960,FTIR_3297
15,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013967004648828875,0.0,0.0,0.0,0.0,0.021759264557970937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046209018477629156,0.13189115420889608,0.0,0.0,0.05652363642067004,0.13621383069560256,0.0,0.0,0.0
16,17.0,0.0,0.0,0.0,0.0,0.0069986861705501,0.0,0.029261184008661713,0.0,0.0,0.0,0.0,0.002797196891299762,0.0,0.0,0.0,0.0,0.031081421187769236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048865339133744766,0.1458037108006874,0.0,0.1517450754763934,0.053000645536266794,0.10697975820812809,0.0,0.0,0.0
17,18.0,0.0,0.0,0.0,0.07719592331465737,0.0,0.051956841943626764,0.01700171223233189,0.068191808087441,0.05840243389855716,0.0,0.0,0.0,0.04837802658892596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05276210631032176,0.0,0.0,0.0,0.11683707790501996,0.05646405550298686,0.003997080119437843,0.042254115864259964,0.1018613642568398,0.1422411063006604,0.18017888977967653,0.013215526196404679,0.0
18,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004197693317716612,0.0,0.0,0.0,0.0,0.02516443619566002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09963491786218324,0.0,0.05682643143230486,0.049638423699859914,0.12005247022765217,0.0,0.0,0.0
19,20.0,0.0,0.0,0.0,0.020348550063334504,0.0,0.0,0.012243620954937693,0.02461848054380132,0.02098576085403151,0.0,0.0,0.0,0.028710315193751734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024303470142513293,0.0,0.007699008822429586,0.0,0.03971302802539211,0.0,0.0,0.15715281885756255,0.03754429635704669,0.13222718922886784,0.18298126367784995,0.0,0.0
20,21.0,0.0,0.0,0.0,0.041212788046191724,0.0,0.12942178132431453,0.017538187462977892,0.03479868279829729,0.031063385981381933,0.0,0.0,0.0,0.037739395920232094,0.0,0.0,0.02745900201337519,0.0,0.0,0.0,0.0,0.03875389692585284,0.0,0.0,0.0,0.09102847175555773,0.0013967004648826374,0.028006132566802174,0.12376501352215549,0.06954299343305687,0.07896521997012534,0.06705011720639971,0.0,0.0
21,22.0,0.0,0.0,0.0,0.049667580223113406,0.0,0.04570235397230799,0.011175801023775137,0.049339289485661325,0.05009379865457724,0.07772396812714315,0.0,0.0,0.026366983498528604,0.0,0.0,0.0308071254196359,0.0,0.0,0.0,0.0,0.12737858739180888,0.0,0.13721559876737935,0.02848071994508123,0.16429573267896122,0.18052576610731794,0.17008806377109625,0.16525138291084726,0.04941308447436357,0.11997334807892394,0.08192428557768125,0.0,0.0
22,23.0,0.0,0.014354092011103674,0.0,0.0861097685093736,0.0,0.014583234955975586,0.0,0.033708299258118274,0.08028299626369305,0.0,0.0,0.0,0.0885493444746457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004532746186151046,0.0,0.0,0.0,0.0,0.0,0.0,0.10349300389205583,0.10191605636129998,0.11237978611772285,0.16366341767699427,0.0,0.0
23,40.0,0.0,0.0,0.0,0.13163148023703777,0.0,0.0,0.0,0.0,0.0,0.0,0.39492480840340155,0.0,0.0,0.0,0.0,0.0,0.02800992852833679,0.0,0.0,0.0,0.04481588564533715,0.0,0.17646288379474698,0.08402978558500729,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
24,41.0,0.0,0.017496759373011313,0.0,0.13892536849398388,0.0,0.15857731125501606,0.04440494319244131,0.15404057840371768,0.13010815541572004,0.0,0.0,0.0,0.08732034090995257,0.0,0.09056037429290788,0.15566305226792412,0.0,0.0,0.0,0.0,0.10363167427279792,0.0,0.18972456672095056,0.0,0.16666666666666669,0.20995111526659693,0.03734151008906925,0.18756563722073014,0.20165225261779163,0.22360679774997896,0.210818510677892,0.22360679774997896,0.16666666666666669
25,50.0,0.0,0.0,0.0,0.014087965828939314,0.0,0.0890658961735552,0.0,0.0,0.02916018083488521,0.0,0.0,0.0,0.03790281756011945,0.04119825835424663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23157264379774495,0.013071299979888993,0.0,0.024265148827133536,0.0,0.0,0.33333333333333337,0.33333333333333337,0.0,0.0,0.17375207713596316
26,51.0,0.0,0.0,0.0,0.0,0.0,0.05051140352151671,0.03005180925639242,0.029877257096891454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15311237419319484,0.0,0.0,0.09649666196889911,0.03173446310135717,0.0,0.0,0.0,0.0,0.0,0.0
27,52.0,0.0,0.0,0.0,0.17735689747551447,0.0,0.11329314954231973,0.06059474011859814,0.040525762521719064,0.06732748902066364,0.0,0.0,0.0,0.06752823865076181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15497814862603432,0.05324417061406339,0.026142570910357463,0.0,0.0,0.0,0.037336448807024136,0.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.0,0.05040774878690553
28,53.0,0.0,0.0,0.0,0.0831066252812336,0.0,0.0,0.015274849880564201,0.04306446272057481,0.0,0.0,0.0,0.0,0.005592318246298534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27750513218029343,0.0,0.33333333333333337,0.33333333333333337,0.0,0.17984325815425212,0.20636511323563395,0.19808531615250852,0.0,0.0,0.0
29,54.0,0.0,0.0,0.0,0.08871284784914327,0.0,0.0,0.011193848847244002,0.07476313477015176,0.007459191710130568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018663502029238367,0.0,0.0,0.0,0.0,0.0,0.30052144729702795,0.06631547059391318,0.0,0.0,0.042938434512686904
30,55.0,0.0,0.0,0.0,0.06479387967597589,0.0,0.02053049169002327,0.01346549780413295,0.037486359400809,0.04480576308123314,0.0,0.0,0.0,0.020531285702942836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13304644634314164,0.0,0.0,0.0,0.0,0.0,0.28571846867461115,0.2874130604475088,0.0,0.0,0.0
31,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020530491690022735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026132477395675202,0.3190348593154555,0.3190348593154555,0.0
32,57.0,0.0,0.0,0.0,0.0,0.0,0.024265148827134566,0.0,0.0161627741706193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0149285059843569,0.0,0.10088765525486305,0.02338746155444744,0.0,0.0,0.0,0.0,0.2272711232720713,0.33010175975489386,0.0,0.0,0.029867134532794735
33,58.0,0.0,0.0,0.0,0.06156523104366731,0.0,0.0,0.012928466413703236,0.09541665279953826,0.0458844099269718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1925521115548681,0.0,0.0,0.0,0.0,0.0,0.06721370590391657,0.33333333333333337,0.0,0.0,0.10642760584357194
34,59.0,0.0,0.06491823532168213,0.0,0.05884307581239934,0.0,0.009326520278688499,0.026473951585886064,0.052051260491440945,0.02613247739567663,0.0,0.0,0.0,0.02916870945710795,0.0,0.0,0.014030270674393996,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,0.0,0.11763157725492117,0.28981316228571,0.33333333333333337,0.0,0.0,0.0261324773956815
35,60.0,0.0,0.0,0.0,0.03005180925639163,0.0,0.0,0.015948540613175757,0.04679511980205937,0.0,0.0,0.0,0.0,0.025942544989634216,0.0,0.0,0.03813192841816193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022640155686143436,0.0,0.33333333333333337,0.1488835951459184,0.1488835951459184,0.03920377737556233
36,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04768091044516329,0.0,0.0,0.0,0.0,0.0,0.0,0.02898891735862428,0.0,0.0,0.0,0.0,0.0,0.07655034874669467,0.33333333333333337,0.0,0.0,0.0
